id,label,Abby ,Agnes ,Alfredia ,Alma.pol,Annie ,Blair ,Bruce ,Charles ,Cherly ,Cheryll ,Claire ,Deanne ,Donette ,Dorcas ,Evelynn ,Gema ,gracewoolford,Jae ,Jonell ,Josette ,Kala ,Kandis ,Katheleen ,Kattie ,Kellee ,Lea ,Lera ,Lisette ,Loise ,Loreta ,Maaz,Madelene ,Marcie ,Marcy ,Maribel ,Mathew ,Matilda ,Meaghan,Merideth ,Sharita ,Somer ,Tresa ,Venice ,Weyinmi,Yen ,Zenaida ,Zenobia ,(blank),Grand Total
2,Abby,0,16,8,27,1,0,75,3,34,0,13,1,16,0,2,3,0,4,1,3,6,6,4,0,35,37,1,5,1,15,6,9,0,1,6,15,1,10,0,14,0,12,22,1,1,1,71,0,487
3,Agnes,14,0,0,2,0,0,5,1,2,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,45
4,Alfredia,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
5,Alma.pol,34,3,0,0,0,0,5,6,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,89
6,Annie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Blair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Bruce,138,15,0,8,0,0,0,5,8,0,8,0,80,0,0,0,0,2,0,1,7,2,0,0,21,68,1,37,0,33,0,4,0,0,0,4,0,6,0,17,1,7,44,0,0,0,20,0,537
11,Charles,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,Cherly,11,1,11,4,0,0,1,0,0,0,0,8,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,58
13,Cheryll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
