id,label,Abby,Agnes,Alfredia,Alma.pol,Annie,arabtaxilondon,Blair,Bruce,Caleb,Charles,Cherly,Cheryll,Chester,Darcel,Deandra,Deanne,Donette,Dorcas,Evelynn,Gema,gracewoolford,Jae,Jonell,Josette,Kala,Kandis,Kattie,Kellee,Lea,Lera,Lisette,Loise,Loreta,Lucio,Maaz,Madelene,Marcie,Marcy,Maribel,Mathew,Matilda,maxruswell,Meaghan,Merideth,Merle,samharris_6,Sharita,Somer,Tamika,Tresa,Venice,Verda,Vincenzo,Weyinmi,Yen,Yung,Zenaida,Zenobia
2,Abby,0,16,0,6,1,3,7,14,0,1,8,4,2,0,0,1,2,1,25,9,2,10,2,15,3,7,3,9,9,0,4,7,3,6,12,5,0,1,2,1,6,0,4,2,0,2,3,9,0,4,2,1,0,0,1,0,3,5
3,Agnes,15,0,0,0,3,0,1,2,0,2,3,4,0,0,0,1,0,0,1,3,0,0,0,1,0,0,1,2,5,0,1,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,8,1
4,Alfredia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alma.pol,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Annie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
82,arabtaxilondon,1,1,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Blair,10,1,2,0,0,14,0,0,4,0,16,0,1,0,0,0,0,0,0,58,1,0,0,0,0,0,4,2,3,0,0,0,0,0,28,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2
9,Bruce,13,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,8,0,35,1,0,0,0,0,5,0,0,2,14,0,2,3,8,0,0,0,0,0,0,2,2,0,3,0,0,0,0,5,0,0,3,0,1,0,0,0,0,1
10,Caleb,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
11,Charles,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cherly,5,4,0,0,0,22,3,2,0,0,0,0,1,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
13,Cheryll,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Chester,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Darcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Deandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Deanne,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Donette,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Evelynn,11,0,0,0,0,0,0,14,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,2,7,1,27,30,1,0,29,9,5,2,10,0,3,7,9,9,0,2,1,0,0,0,26,0,1,0,0,7,1,0,0,0,16
26,Gema,20,3,10,0,0,20,49,1,3,0,16,2,0,0,0,0,0,0,5,0,0,14,0,2,0,2,0,2,2,0,0,0,1,0,15,0,2,0,0,0,42,0,0,2,2,0,0,0,0,18,0,0,0,0,3,0,0,1
85,gracewoolford,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
