id,label,Abby,Agnes,Alma.pol,Annie,Bruce,Cherly,Dedra,Evelynn,Gema,gracewoolford,Jae,JenniferCimelli,Jessika,Josette,Kandis,Loise,Lucio,Maaz,Madelene,Mathew,Matilda,Meaghan,Merideth,Rosalba,Tresa,Venice,Yung,Zenobia
2,Abby,0,4,0,3,0,0,0,2,0,0,3,1,1,0,9,1,1,12,3,0,1,1,0,0,3,1,0,1
3,Agnes,5,0,0,1,0,0,0,1,1,0,0,0,5,1,4,0,0,5,0,0,0,0,0,3,0,0,1,0
6,Annie,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
9,Bruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
13,Cheryll,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Dedra,1,3,0,0,1,0,0,0,2,0,0,0,3,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0
25,Evelynn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0
26,Gema,1,5,0,1,0,0,1,1,0,0,1,0,1,0,5,0,0,2,0,1,0,0,1,0,0,0,0,0
85,gracewoolford,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Jae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
86,JenniferCimelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Jessika,1,9,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,1,0
32,Josette,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Kandis,3,5,0,1,1,0,0,0,7,1,3,1,4,1,0,0,1,17,1,0,3,0,0,0,1,0,0,3
47,Loise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Lucio,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Maaz,19,10,0,6,0,0,1,3,3,0,1,0,2,0,17,0,0,0,0,0,0,0,0,0,1,0,3,1
51,Madelene,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Mathew,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Matilda,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Rosalba,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0
73,Tresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Yung,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
80,Zenobia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
