id,label,Aaron,Abby,Agnes,Alfredia,Alma.pol,Annie,arabtaxilondon,Blair,Bruce,calamtyjane67,Charles,chelseavmarsh,Cherly,Cheryll,Chester,Daisy,Deanne,Dedra,Donette,Dorcas,Dorethea,Elfriede,Evelynn,Gema,gracewoolford,Guy,idrisjacobs,jadesophiee,Jae,JenniferCimelli,Jessika,Jonell,Josette,Justa,Justina,Kala,Kandis,Karon,Katheleen,Kattie,Kellee,Kraig,lauraaolearyy,Lea,Lera,Lisette,Loise,Loreta,lorettamangan,Lucio,Maaz,Madelene,Marcie,Marcy,Maribel,Marx,Mathew,Matilda,maxruswell,Meaghan,Merideth,Michel,Ramonita,Reanna,Rosalba,samharris_6,Serina,Sharita,Somer,still_les,Tamika,Tamra,Telma,Tresa,Trilla_Ruben,Venice,Vincenzo,Weyinmi,Yen,Yung,Zenaida,Zenobia,Zola
1,Aaron,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Abby,1,0,36,0,7,5,4,2,18,1,3,3,4,4,1,2,1,0,0,0,0,2,10,21,2,1,0,0,9,2,4,1,5,0,1,1,30,1,2,2,11,1,3,7,0,1,13,1,1,6,33,12,1,0,3,0,8,1,2,4,5,0,6,3,1,1,1,2,7,0,2,1,1,8,0,3,0,2,0,4,7,6,0
3,Agnes,0,18,0,0,2,2,2,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,1,1,3,2,0,1,1,5,0,0,0,2,0,0,4,0,2,4,1,0,1,10,0,2,0,0,0,1,1,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,2,1,4,0,1,0,1,3,8,0
5,Alma.pol,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6,Annie,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,arabtaxilondon,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Blair,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,Bruce,0,6,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,5,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
97,calamtyjane67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Caleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
