id,label,Abby,Agnes,Alfredia,arabtaxilondon,Bruce,calamtyjane67,Charles,chelseavmarsh,Cherly,Donette,Dorcas,Elfriede,Evelynn,Gema,Guy,idrisjacobs,jadesophiee,Jae,Justa,Karon,Kattie,Kellee,Kraig,lauraaolearyy,Lea,Lera,Lisette,Loise,Loreta,lorettamangan,Lucio,Madelene,Marcy,Maribel,Mathew,Matilda,Meaghan,Michel,Ramonita,Reanna,Sharita,Somer,still_les,Tamra,Telma,Vincenzo,Zenobia,Grand Total
2,Abby,0,2,0,0,6,1,1,3,0,0,0,2,2,0,1,0,0,2,0,1,0,3,1,3,2,0,0,1,1,1,2,4,0,2,6,0,1,0,6,3,2,6,0,1,1,0,2,69
82,arabtaxilondon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9,Bruce,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,2,0,0,0,20
97,calamtyjane67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,Charles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8
99,chelseavmarsh,1,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,3,3,0,37,138
12,Cherly,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
24,Elfriede,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,9
25,Evelynn,1,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,1,1,2,6,0,0,3,2,0,0,0,0,1,10,0,0,0,69,0,0,27,0,0,0,18,1,160
26,Gema,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
27,Guy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,14
95,idrisjacobs,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
96,jadesophiee,1,0,0,3,0,1,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30
29,Jae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
